array_type,algorithm,n,time,ops
reversed,quick,900,9677.163392771035,1641581
reversed,quick,1000,11848.319158889353,2023981
reversed,quick,1100,14543.353378539905,2446381
reversed,quick,1200,17296.732539543882,2908781
reversed,quick,1300,20147.165888920426,3411181
reversed,quick,1400,24170.9699598141,3953581
reversed,quick,1500,27529.241662705317,4535981
reversed,quick,1600,30622.069177916273,5158381
reversed,quick,1700,34950.884961290285,5820781
reversed,quick,1800,41119.38578309491,6523181
reversed,quick,1900,45001.7374753952,7265581
reversed,quick,2000,48252.308319788426,8047981
reversed,shell,100,24.480036227032542,7122
reversed,shell,200,54.80244988575578,15754
reversed,shell,300,140.44499723240733,25666
reversed,shell,400,137.09234655834734,35416
reversed,shell,500,201.15663297474384,48632
reversed,shell,600,259.01659624651074,60624
reversed,shell,700,314.26409957930446,71392
reversed,shell,800,380.3691826760769,81806
reversed,shell,900,444.8608064558357,93766
reversed,shell,1000,504.47252462618053,104814
reversed,shell,1100,601.528420811519,117734
reversed,shell,1200,875.5307365208864,129430
reversed,shell,1300,1011.3417799584568,153630
reversed,shell,1400,945.9950856398791,159278
reversed,shell,1500,1101.3574234675616,175174
reversed,shell,1600,895.0216835364699,179286
reversed,shell,1700,982.2215617168696,202094
reversed,shell,1800,968.2808513753116,207046
reversed,shell,1900,1054.9882997293025,227862
reversed,shell,2000,1148.3784578740597,248678
almost_sorted,selection,100,85.02087905071676,20661
almost_sorted,selection,200,339.0258620493114,81482
almost_sorted,selection,300,846.7990369535983,182444
almost_sorted,selection,400,1698.9975015167147,322998
almost_sorted,selection,500,2810.1183800026774,503852
almost_sorted,selection,600,4112.827560165897,724805
almost_sorted,selection,700,5850.537500809878,985741
almost_sorted,selection,800,7475.944998441264,1286646
almost_sorted,selection,900,9542.583440197632,1627878
almost_sorted,selection,1000,11859.112516976893,2008469
almost_sorted,selection,1100,14573.635860579088,2429299
almost_sorted,selection,1200,17139.56420077011,2890023
almost_sorted,selection,1300,20336.705018999055,3390596
almost_sorted,selection,1400,23469.424163922668,3931281
almost_sorted,selection,1500,26892.723358469084,4512310
almost_sorted,selection,1600,30555.415104608983,5132672
almost_sorted,selection,1700,34520.72743908502,5793284
almost_sorted,selection,1800,38728.458400582895,6493050
almost_sorted,selection,1900,43114.61504199542,7232967
almost_sorted,selection,2000,47761.322517180815,8004501
almost_sorted,bubble,100,26.569998590275645,5281
almost_sorted,bubble,200,275.2557583153248,62080
almost_sorted,bubble,300,1024.2433100938797,232903
almost_sorted,bubble,400,1986.0608782619238,415290
almost_sorted,bubble,500,3124.772501178086,590454
almost_sorted,bubble,600,4872.569137951359,895304
almost_sorted,bubble,700,6815.830860286951,1205949
almost_sorted,bubble,800,8948.356604669243,1480717
almost_sorted,bubble,900,12406.856601592153,2051044
almost_sorted,bubble,1000,15837.140037911015,2602923
almost_sorted,bubble,1100,19150.370102142915,3052643
almost_sorted,bubble,1200,23685.08502142504,3785972
almost_sorted,bubble,1300,28112.122516613454,4469457
almost_sorted,bubble,1400,32600.044979481027,5105669
almost_sorted,bubble,1500,38030.09579889476,5844707
almost_sorted,bubble,1600,43079.300799872726,6566195
almost_sorted,bubble,1700,49230.6408577133,7269307
almost_sorted,bubble,1800,57573.03338148631,8521900
almost_sorted,bubble,1900,62159.31419748813,9410188
almost_sorted,bubble,2000,69120.49745791592,10462098
almost_sorted,insertion,100,17.376698087900877,3305
almost_sorted,insertion,200,63.33321682177483,12561
almost_sorted,insertion,300,171.3874761480838,31239
almost_sorted,insertion,400,320.8874154370278,53620
almost_sorted,insertion,500,477.07584453746676,75707
almost_sorted,insertion,600,685.4341202415526,105403
almost_sorted,insertion,700,922.3633783403784,139880
almost_sorted,insertion,800,1212.0898475404829,180524
almost_sorted,insertion,900,1570.5458063166589,228910
almost_sorted,insertion,1000,1921.3232607580721,283190
almost_sorted,insertion,1100,2213.635832304135,325500
almost_sorted,insertion,1200,2657.44996140711,387025
almost_sorted,insertion,1300,3193.939240882173,467996
almost_sorted,insertion,1400,3541.659218026325,518167
almost_sorted,insertion,1500,3830.2066642791033,561695
almost_sorted,insertion,1600,4212.894982192665,616696
almost_sorted,insertion,1700,4682.2215965949,682442
almost_sorted,insertion,1800,5328.170856228098,777147
